,Year,Population,YearlyChange,Migrantsnet,MedianAge,FertilityRate,DensityPKmÂ²,UrbanPop,UrbanPopulation,EasternAfricasShareofWorldPop,WorldPopulation,EasternAfricaRankwithinAfrica
0,2020,445405606,11146866,-262400,18.7,4.43,67.0,29.80%,132520364,6.00%,7794798739,2.0
1,2020,445405606,11500663,-262405,18.1,4.81,67.0,29.80%,132520364,5.70%,7794798739,2.0
2,2019,433904943,11341580,-262405,18.1,4.81,65.0,29.20%,126809813,5.60%,7713468100,1.0
3,2018,422563363,11166636,-262405,18.1,4.81,63.0,28.70%,121315521,5.50%,7631091040,1.0
4,2017,411396727,10969972,-262405,18.1,4.81,62.0,28.20%,116034318,5.50%,7547858925,1.0
5,2016,400426755,10755480,-262405,18.1,4.81,60.0,27.70%,110963377,5.40%,7464022049,1.0
6,2015,389671275,10070688,-355300,17.9,4.9,58.0,27.20%,106095604,5.60%,7379797139,1.0
7,2010,339317833,8826483,-313900,17.3,5.38,51.0,24.90%,84503529,5.20%,6956823603,1.0
8,2005,295185417,7566411,-206900,17.0,5.76,44.0,22.90%,67684204,4.80%,6541907027,1.0
9,2000,257353364,6683829,-82200,16.9,6.09,39.0,21.40%,54950508,4.50%,6143493823,1.0
10,1995,223934219,5353169,-452900,16.9,6.38,34.0,19.90%,44589205,4.20%,5744212979,1.0
11,1990,197168375,5456177,-77800,16.7,6.78,30.0,18.20%,35850678,4.00%,5327231061,1.0
12,1985,169887491,4679825,-121200,16.7,7.0,25.0,16.30%,27720992,3.80%,4870921740,1.0
13,1980,146488368,4004663,-133800,16.8,7.11,22.0,14.70%,21478562,3.60%,4458003514,1.0
14,1975,126465051,3356567,-124400,16.9,7.14,19.0,12.50%,15854488,3.40%,4079480606,1.0
15,1970,109682215,2861904,-20000,17.2,7.1,16.0,10.70%,11752648,3.30%,3700437046,1.0
16,1965,95372694,2362903,-41100,17.5,7.08,14.0,5.20%,4978234,3.10%,3339583597,1.0
17,1960,83558179,1916566,-24500,17.9,6.99,13.0,7.80%,6514299,3.00%,3034949748,2.0
18,1955,73975350,1566158,-20100,18.2,6.99,11.0,6.70%,4978234,2.90%,2773019936,2.0
